Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"LINC00523","Long Intergenic Non-Protein Coding RNA 523","RNA Gene","Q86TU6","28","GC14P117145","1.14121735095978","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00523"
"PURPL","P53 Upregulated Regulator Of P53 Levels","RNA Gene","","20","GC05P027217","1.14121735095978","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PURPL"
"LINC01915","Long Intergenic Non-Protein Coding RNA 1915","RNA Gene","","16","GC18P024534","1.14121735095978","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01915"
"ELOVL6","ELOVL Fatty Acid Elongase 6","Protein Coding","Q9H5J4","52","GC04M110045","1.14055585861206","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELOVL6"
"GALR2","Galanin Receptor 2","Protein Coding","O43603","52","GC17P123893","1.14055585861206","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GALR2"
"ANGPTL7","Angiopoietin Like 7","Protein Coding","O43827","50","GC01P011189","1.14055585861206","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANGPTL7"
"GDF10","Growth Differentiation Factor 10","Protein Coding","P55107","52","GC10P047300","1.13861322402954","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GDF10"
"VGLL3","Vestigial Like Family Member 3","Protein Coding","A8MV65","42","GC03M086876","1.13861322402954","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VGLL3"
"KMT2B","Lysine Methyltransferase 2B","Protein Coding","Q9UMN6","51","GC19P122932","1.13710153102875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KMT2B"
"GDF2","Growth Differentiation Factor 2","Protein Coding","Q9UK05","56","GC10P047322","1.1332471370697","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GDF2"
"DYNC1H1","Dynein Cytoplasmic 1 Heavy Chain 1","Protein Coding","Q14204","58","GC14P116947","1.13292801380157","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DYNC1H1"
"NTHL1","Nth Like DNA Glycosylase 1","Protein Coding","P78549","56","GC16M025583","1.13103449344635","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTHL1"
"NOD2","Nucleotide Binding Oligomerization Domain Containing 2","Protein Coding","Q9HC29","60","GC16P050693","1.13041400909424","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOD2"
"ADCY1","Adenylate Cyclase 1","Protein Coding","Q08828","60","GC07P045580","1.12813055515289","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADCY1"
"ASCC1","Activating Signal Cointegrator 1 Complex Subunit 1","Protein Coding","Q8N9N2","54","GC10M072096","1.12659311294556","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASCC1"
"CARD9","Caspase Recruitment Domain Family Member 9","Protein Coding","Q9H257","58","GC09M136364","1.12439846992493","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CARD9"
"CYSLTR2","Cysteinyl Leukotriene Receptor 2","Protein Coding","Q9NS75","58","GC13P048653","1.12439846992493","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYSLTR2"
"NMBR","Neuromedin B Receptor","Protein Coding","P28336","52","GC06M142059","1.12439846992493","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NMBR"
"SH3GL2","SH3 Domain Containing GRB2 Like 2, Endophilin A1","Protein Coding","Q99962","52","GC09P017569","1.12439846992493","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SH3GL2"
"NPTXR","Neuronal Pentraxin Receptor","Protein Coding","O95502","49","GC22M038818","1.12439846992493","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPTXR"
"FFAR3","Free Fatty Acid Receptor 3","Protein Coding","O14843","47","GC19P124080","1.12439846992493","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FFAR3"
"C1QTNF6","C1q And TNF Related 6","Protein Coding","Q9BXI9","45","GC22M037180","1.12439846992493","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1QTNF6"
"SNHG5","Small Nucleolar RNA Host Gene 5","RNA Gene","","29","GC06M085650","1.12439846992493","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNHG5"
"GRK4","G Protein-Coupled Receptor Kinase 4","Protein Coding","P32298","54","GC04P002963","1.12310135364532","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRK4"
"MIR1275","MicroRNA 1275","RNA Gene","","24","GC06M097237","1.12310135364532","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1275"
"CENPJ","Centromere Protein J","Protein Coding","Q9HC77","54","GC13M024882","1.12303733825684","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CENPJ"
"SCAF4","SR-Related CTD Associated Factor 4","Protein Coding","O95104","45","GC21M031671","1.12239789962769","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCAF4"
"MBD5","Methyl-CpG Binding Domain Protein 5","Protein Coding","Q9P267","51","GC02P148027","1.12199950218201","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MBD5"
"SKAP1-AS2","SKAP1 Antisense RNA 2","RNA Gene","","21","GC17P123283","1.12110865116119","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SKAP1-AS2"
"RAP1B","RAP1B, Member Of RAS Oncogene Family","Protein Coding","P61224","58","GC12P068610","1.12098526954651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAP1B"
"SEC24C","SEC24 Homolog C, COPII Coat Complex Component","Protein Coding","P53992","57","GC10P073744","1.12098526954651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEC24C"
"GP1BB","Glycoprotein Ib Platelet Subunit Beta","Protein Coding","P13224","55","GC22P075376","1.12098526954651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GP1BB"
"HIRA","Histone Cell Cycle Regulator","Protein Coding","P54198","55","GC22M019330","1.12098526954651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIRA"
"ZNF608","Zinc Finger Protein 608","Protein Coding","Q9ULD9","43","GC05M124636","1.12048900127411","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF608"
"ATP1A2","ATPase Na+/K+ Transporting Subunit Alpha 2","Protein Coding","P50993","61","GC01P160115","1.11806809902191","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP1A2"
"PTGER2","Prostaglandin E Receptor 2","Protein Coding","P43116","61","GC14P052314","1.11806809902191","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGER2"
"SLC25A10","Solute Carrier Family 25 Member 10","Protein Coding","Q9UBX3","55","GC17P081712","1.11806809902191","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A10"
"DDIT4","DNA Damage Inducible Transcript 4","Protein Coding","Q9NX09","54","GC10P072273","1.11806809902191","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDIT4"
"ORM1","Orosomucoid 1","Protein Coding","P02763","53","GC09P114323","1.11806809902191","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ORM1"
"AGRN","Agrin","Protein Coding","O00468","58","GC01P001020","1.11765372753143","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGRN"
"IL3","Interleukin 3","Protein Coding","P08700","58","GC05P132060","1.1165052652359","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL3"
"CNP","2',3'-Cyclic Nucleotide 3' Phosphodiesterase","Protein Coding","P09543","56","GC17P041966","1.11408221721649","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNP"
"FOSB","FosB Proto-Oncogene, AP-1 Transcription Factor Subunit","Protein Coding","P53539","56","GC19P045467","1.11408221721649","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOSB"
"CNTN4","Contactin 4","Protein Coding","Q8IWV2","54","GC03P002117","1.11408221721649","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNTN4"
"EXOC4","Exocyst Complex Component 4","Protein Coding","Q96A65","52","GC07P133253","1.11383271217346","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EXOC4"
"LRRFIP1","LRR Binding FLII Interacting Protein 1","Protein Coding","Q32MZ4","47","GC02P237627","1.11383271217346","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRFIP1"
"MIR520A","MicroRNA 520a","RNA Gene","","28","GC19P053690","1.11134946346283","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR520A"
"MIR1323","MicroRNA 1323","RNA Gene","","18","GC19P123637","1.11134946346283","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1323"
"ATP5F1B","ATP Synthase F1 Subunit Beta","Protein Coding","P06576","55","GC12M059576","1.10980486869812","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP5F1B"
"KCNMA1-AS1","KCNMA1 Antisense RNA 1","RNA Gene","","20","GC10P076888","1.10980486869812","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNMA1-AS1"
"ONECUT1","One Cut Homeobox 1","Protein Coding","Q9UBC0","54","GC15M151554","1.10962724685669","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ONECUT1"
"CNC2","Carney Complex Type 2, Multiple Neoplasia And Lentiginosis","Genetic Locus","","9","GC02U990267","1.10802149772644","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNC2"
"CSK","C-Terminal Src Kinase","Protein Coding","P41240","59","GC15P074782","1.10741090774536","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSK"
"CAMKK2","Calcium/Calmodulin Dependent Protein Kinase Kinase 2","Protein Coding","Q96RR4","58","GC12M123823","1.10741090774536","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMKK2"
"TLR6","Toll Like Receptor 6","Protein Coding","Q9Y2C9","58","GC04M038828","1.10741090774536","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR6"
"RIPK3","Receptor Interacting Serine/Threonine Kinase 3","Protein Coding","Q9Y572","56","GC14M024336","1.10741090774536","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RIPK3"
"SOCS2","Suppressor Of Cytokine Signaling 2","Protein Coding","O14508","56","GC12P093569","1.10741090774536","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOCS2"
"CES2","Carboxylesterase 2","Protein Coding","O00748","53","GC16P066934","1.10741090774536","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CES2"
"HOXA5","Homeobox A5","Protein Coding","P20719","50","GC07M028059","1.10741090774536","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOXA5"
"SPAG17","Sperm Associated Antigen 17","Protein Coding","Q6Q759","47","GC01M117953","1.10741090774536","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPAG17"
"SUPT3H","SPT3 Homolog, SAGA And STAGA Complex Component","Protein Coding","O75486","47","GC06M097394","1.10741090774536","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUPT3H"
"NUPR1","Nuclear Protein 1, Transcriptional Regulator","Protein Coding","O60356","46","GC16M028532","1.10741090774536","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUPR1"
"MMD","Monocyte To Macrophage Differentiation Associated","Protein Coding","Q15546","42","GC17M055392","1.10741090774536","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMD"
"MIR606","MicroRNA 606","RNA Gene","","19","GC10P075558","1.10741090774536","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR606"
"MIR1299","MicroRNA 1299","RNA Gene","","18","GC09M040929","1.10741090774536","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1299"
"LINC00539","Long Intergenic Non-Protein Coding RNA 539","RNA Gene","","17","GC13M023400","1.10741090774536","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00539"
"MIR4305","MicroRNA 4305","RNA Gene","","17","GC13M039664","1.10741090774536","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4305"
"MIR583","MicroRNA 583","RNA Gene","","16","GC05P096079","1.10741090774536","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR583"
"MIR3176","MicroRNA 3176","RNA Gene","","14","GC16P000543","1.10741090774536","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR3176"
"MIR4530","MicroRNA 4530","RNA Gene","","14","GC19M096855","1.10741090774536","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4530"
"MIR4314","MicroRNA 4314","RNA Gene","","13","GC17P008088","1.10741090774536","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4314"
"MIR4477A","MicroRNA 4477a","RNA Gene","","9","GC09P041233","1.10741090774536","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4477A"
"GRB10","Growth Factor Receptor Bound Protein 10","Protein Coding","Q13322","56","GC07M050590","1.10506665706635","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRB10"
"FOXA3","Forkhead Box A3","Protein Coding","P55318","48","GC19P045863","1.10486531257629","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXA3"
"ATF1","Activating Transcription Factor 1","Protein Coding","P18846","58","GC12P050763","1.10393345355988","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATF1"
"UTS2","Urotensin 2","Protein Coding","O95399","51","GC01M007843","1.10357105731964","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UTS2"
"GREM2","Gremlin 2, DAN Family BMP Antagonist","Protein Coding","Q9H772","52","GC01M240489","1.10053265094757","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GREM2"
"OLFM2","Olfactomedin 2","Protein Coding","O95897","50","GC19M009853","1.10053265094757","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OLFM2"
"INHBE","Inhibin Subunit Beta E","Protein Coding","P58166","45","GC12P057452","1.10053265094757","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INHBE"
"MRXS7","Mental Retardation, X-Linked, Syndromic 7","Genetic Locus","","3","GC0XU990161","1.09816658496857","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRXS7"
"RTTN","Rotatin","Protein Coding","Q86VV8","50","GC18M070003","1.09787273406982","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RTTN"
"MIR4508","MicroRNA 4508","RNA Gene","","13","GC15M023562","1.09772801399231","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4508"
"MBD2","Methyl-CpG Binding Domain Protein 2","Protein Coding","Q9UBB5","53","GC18M054151","1.09605741500854","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MBD2"
"MIR29B2","MicroRNA 29b-2","RNA Gene","","27","GC01M207836","1.09605741500854","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR29B2"
"MIR3196","MicroRNA 3196","RNA Gene","","13","GC20P067533","1.09605741500854","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR3196"
"RPS10","Ribosomal Protein S10","Protein Coding","P46783","55","GC06M097241","1.09572660923004","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS10"
"ECT2","Epithelial Cell Transforming 2","Protein Coding","Q9H8V3","54","GC03P172750","1.09572660923004","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ECT2"
"H1-3","H1.3 Linker Histone, Cluster Member","Protein Coding","P16402","51","GC06M098177","1.09572660923004","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H1-3"
"WDR82","WD Repeat Domain 82","Protein Coding","Q6UXN9","47","GC03M052254","1.09572660923004","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WDR82"
"H4C1","H4 Clustered Histone 1","Protein Coding","P62805","46","GC06P144546","1.09572660923004","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H4C1"
"LIFR","LIF Receptor Subunit Alpha","Protein Coding","P42702","60","GC05M038555","1.09348976612091","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIFR"
"CD81","CD81 Molecule","Protein Coding","P60033","59","GC11P012372","1.09250617027283","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD81"
"PPM1B","Protein Phosphatase, Mg2+/Mn2+ Dependent 1B","Protein Coding","O75688","56","GC02P044167","1.09250617027283","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPM1B"
"RSPO2","R-Spondin 2","Protein Coding","Q6UXX9","55","GC08M107899","1.09250617027283","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RSPO2"
"DUSP9","Dual Specificity Phosphatase 9","Protein Coding","Q99956","50","GC0XP153642","1.09250617027283","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUSP9"
"CSNK2A1","Casein Kinase 2 Alpha 1","Protein Coding","P68400","63","GC20M000472","1.09211826324463","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSNK2A1"
"TLR7","Toll Like Receptor 7","Protein Coding","Q9NYK1","62","GC0XP012867","1.08946371078491","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR7"
"ACBD3","Acyl-CoA Binding Domain Containing 3","Protein Coding","Q9H3P7","51","GC01M226144","1.08946371078491","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACBD3"
"HSPA9","Heat Shock Protein Family A (Hsp70) Member 9","Protein Coding","P38646","61","GC05M138554","1.08945024013519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA9"
"BTC","Betacellulin","Protein Coding","P35070","56","GC04M074744","1.08945024013519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BTC"
"DNAJC6","DnaJ Heat Shock Protein Family (Hsp40) Member C6","Protein Coding","O75061","56","GC01P065248","1.08945024013519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAJC6"
"SLC27A2","Solute Carrier Family 27 Member 2","Protein Coding","O14975","56","GC15P050182","1.08945024013519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC27A2"
"KDM4C","Lysine Demethylase 4C","Protein Coding","Q9H3R0","55","GC09P006720","1.08945024013519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KDM4C"
"TANK","TRAF Family Member Associated NFKB Activator","Protein Coding","Q92844","55","GC02P161136","1.08945024013519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TANK"
"SPRY1","Sprouty RTK Signaling Antagonist 1","Protein Coding","O43609","54","GC04P123396","1.08945024013519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPRY1"
"CCL26","C-C Motif Chemokine Ligand 26","Protein Coding","Q9Y258","51","GC07M075769","1.08945024013519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL26"
"MUC16","Mucin 16, Cell Surface Associated","Protein Coding","Q8WXI7","51","GC19M008848","1.08945024013519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUC16"
"SYT4","Synaptotagmin 4","Protein Coding","Q9H2B2","50","GC18M043267","1.08945024013519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYT4"
"ANKS1A","Ankyrin Repeat And Sterile Alpha Motif Domain Containing 1A","Protein Coding","Q92625","47","GC06P144883","1.08945024013519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANKS1A"
"CCDC91","Coiled-Coil Domain Containing 91","Protein Coding","Q7Z6B0","45","GC12P028133","1.08945024013519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCDC91"
"LMO3","LIM Domain Only 3","Protein Coding","Q8TAP4","45","GC12M016548","1.08945024013519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMO3"
"RNF41","Ring Finger Protein 41","Protein Coding","Q9H4P4","45","GC12M056202","1.08945024013519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF41"
"MIR218-2","MicroRNA 218-2","RNA Gene","","25","GC05M168768","1.08945024013519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR218-2"
"MIR924HG","MIR924 Host Gene","RNA Gene","","22","GC18M039114","1.08945024013519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR924HG"
"CHRNB1","Cholinergic Receptor Nicotinic Beta 1 Subunit","Protein Coding","P11230","58","GC17P121915","1.087327003479","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRNB1"
"CHRNE","Cholinergic Receptor Nicotinic Epsilon Subunit","Protein Coding","Q04844","58","GC17M004897","1.087327003479","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRNE"
"CHRND","Cholinergic Receptor Nicotinic Delta Subunit","Protein Coding","Q07001","55","GC02P232525","1.087327003479","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRND"
"MIR497","MicroRNA 497","RNA Gene","","28","GC17M084119","1.08663737773895","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR497"
"CD209","CD209 Molecule","Protein Coding","Q9NNX6","56","GC19M007739","1.08487784862518","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD209"
"CHKA","Choline Kinase Alpha","Protein Coding","P35790","55","GC11M068052","1.08487784862518","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHKA"
"TAGLN","Transgelin","Protein Coding","Q01995","56","GC11P117199","1.08434438705444","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAGLN"
"NCAM1","Neural Cell Adhesion Molecule 1","Protein Coding","P13591","61","GC11P112961","1.08286571502686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCAM1"
"CCR7","C-C Motif Chemokine Receptor 7","Protein Coding","P32248","58","GC17M085155","1.08286571502686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR7"
"KRT4","Keratin 4","Protein Coding","P19013","54","GC12M052806","1.08286571502686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT4"
"DRAM2","DNA Damage Regulated Autophagy Modulator 2","Protein Coding","Q6UX65","50","GC01M111117","1.08286571502686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DRAM2"
"TRIM47","Tripartite Motif Containing 47","Protein Coding","Q96LD4","43","GC17M075874","1.08286571502686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM47"
"MIR202","MicroRNA 202","RNA Gene","","28","GC10M133247","1.08286571502686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR202"
"GRM7","Glutamate Metabotropic Receptor 7","Protein Coding","Q14831","58","GC03P006770","1.08180952072144","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRM7"
"CCL25","C-C Motif Chemokine Ligand 25","Protein Coding","O15444","50","GC19P008052","1.08180952072144","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL25"
"SAA2","Serum Amyloid A2","Protein Coding","P0DJI9","48","GC11M018238","1.08180952072144","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SAA2"
"ALKBH5","AlkB Homolog 5, RNA Demethylase","Protein Coding","Q6P6C2","47","GC17P018183","1.08180952072144","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALKBH5"
"MIR4772","MicroRNA 4772","RNA Gene","","18","GC02P102432","1.08180952072144","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4772"
"LRGUK","Leucine Rich Repeats And Guanylate Kinase Domain Containing","Protein Coding","Q96M69","39","GC07P137124","1.0805606842041","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRGUK"
"RGS9BP","Regulator Of G Protein Signaling 9 Binding Protein","Protein Coding","Q6ZS82","45","GC19P032675","1.07779538631439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RGS9BP"
"CHRNA5","Cholinergic Receptor Nicotinic Alpha 5 Subunit","Protein Coding","P30532","56","GC15P078565","1.07101452350616","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRNA5"
"CNTFR","Ciliary Neurotrophic Factor Receptor","Protein Coding","P26992","56","GC09M034551","1.07101452350616","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNTFR"
"NPW","Neuropeptide W","Protein Coding","Q8N729","41","GC16P095807","1.07101452350616","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPW"
"NNAT","Neuronatin","Protein Coding","Q16517","39","GC20P037521","1.07101452350616","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NNAT"
"DIAPH1","Diaphanous Related Formin 1","Protein Coding","O60610","60","GC05M141516","1.0703272819519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DIAPH1"
"CA1","Carbonic Anhydrase 1","Protein Coding","P00915","59","GC08M085327","1.0703272819519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CA1"
"TXNRD1","Thioredoxin Reductase 1","Protein Coding","Q16881","55","GC12P104215","1.0703272819519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TXNRD1"
"ADAMTSL1","ADAMTS Like 1","Protein Coding","Q8N6G6","53","GC09P017906","1.0703272819519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAMTSL1"
"LUM","Lumican","Protein Coding","P51884","53","GC12M091102","1.0703272819519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LUM"
"SLC18A1","Solute Carrier Family 18 Member A1","Protein Coding","P54219","53","GC08M020144","1.0703272819519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC18A1"
"ITIH5","Inter-Alpha-Trypsin Inhibitor Heavy Chain 5","Protein Coding","Q86UX2","51","GC10M007559","1.0703272819519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITIH5"
"MYO1B","Myosin IB","Protein Coding","O43795","51","GC02P191246","1.0703272819519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYO1B"
"NKRF","NFKB Repressing Factor","Protein Coding","O15226","50","GC0XM119588","1.0703272819519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NKRF"
"PCDH7","Protocadherin 7","Protein Coding","O60245","50","GC04P030722","1.0703272819519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCDH7"
"SIK3","SIK Family Kinase 3","Protein Coding","Q9Y2K2","50","GC11M116843","1.0703272819519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIK3"
"SMPD3","Sphingomyelin Phosphodiesterase 3","Protein Coding","Q9NY59","50","GC16M068358","1.0703272819519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMPD3"
"TET1","Tet Methylcytosine Dioxygenase 1","Protein Coding","Q8NFU7","50","GC10P068560","1.0703272819519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TET1"
"IFNL1","Interferon Lambda 1","Protein Coding","Q8IU54","48","GC19P039296","1.0703272819519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNL1"
"KIF6","Kinesin Family Member 6","Protein Coding","Q6ZMV9","48","GC06M097279","1.0703272819519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIF6"
"EEF1A1P11","Eukaryotic Translation Elongation Factor 1 Alpha 1 Pseudogene 11","Pseudogene","","10","GC01P096446","1.0703272819519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EEF1A1P11"
"MIR455","MicroRNA 455","RNA Gene","","29","GC09P114209","1.07029914855957","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR455"
"MIR4286","MicroRNA 4286","RNA Gene","","21","GC08P010666","1.06973254680634","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4286"
"SMAD2","SMAD Family Member 2","Protein Coding","Q15796","66","GC18M047809","1.0684689283371","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD2"
"KDM3B","Lysine Demethylase 3B","Protein Coding","Q7LBC6","58","GC05P138352","1.0672607421875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KDM3B"
"TAOK3","TAO Kinase 3","Protein Coding","Q9H2K8","51","GC12M118149","1.06700217723846","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAOK3"
"PIWIL4","Piwi Like RNA-Mediated Gene Silencing 4","Protein Coding","Q7Z3Z4","50","GC11P094543","1.06700217723846","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIWIL4"
"ECI1","Enoyl-CoA Delta Isomerase 1","Protein Coding","P42126","48","GC16M002239","1.06700217723846","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ECI1"
